Model,Optimizer,Seed,Temperature,Generated Text
RNN,Adam,محبت,0.7,محبت میں ہے بات ہی ہی سا اسی کو آ ہے کیا وہ یہ اثر ہوں
RNN,Adam,محبت,1.0,محبت ولی یہ جب لفظ اس ہی نہ ہماری دیکھتا کے یاں لمحے سمجھ ہے ہے
RNN,Adam,محبت,1.3,محبت آ قدر سما و آزمائش سرشار سمانے افسون قبلہ خاموشی منتظر برا رفتہ کرے سکتا
RNN,Adam,دل,0.7,دل دیا تو ہے نہیں ہے بس بھی کہ عشق تو اس سے مرے لیے نہیں
RNN,Adam,دل,1.0,دل لیا کاسۂ ہم سے اپنی ظلم نہیں کہ راہ میں مجھے جائیں اک جائیے منہ
RNN,Adam,دل,1.3,دل و غیر دیکھ میں رہتے ہیں طرف امید سلطانی پر پرانا پھرتے لکھی روداد لال
RNN,Adam,شام,0.7,شام ہے محبت ہے کہ بھی ہے اس بت سے ہم و لیکن ہے ہم کی
RNN,Adam,شام,1.0,شام کر چاہے ہو ہوں فارغ پہ خطا سوز ہیں کہیے وہ سو تکیہ و مبارک
RNN,Adam,شام,1.3,شام ہجر تدبیر تھی اس اے نبض لطف اپنے طرز و گفتنی کو تکلف ہے اس
RNN,Adam,یاد,0.7,یاد ہی ہی ہے ہے غم میں ہی نگہ کا بھی نہ یہ دل کے نہ
RNN,Adam,یاد,1.0,یاد ہوا اور لیے بلبل ہیں نہ غمزہ ماریں ہے سادہ ہی تری مول تو نہیں
RNN,Adam,یاد,1.3,یاد ہیں خودی سرد قیود ہم باغ میں طرز وہی زور مسلم تو نظر خمستان حوصلہ
RNN,Adam,خوشی,0.7,خوشی میں یاد نہ میں ستم اسی کو ذکر یہ خواری ہے کہ ساتھ اب ہم
RNN,Adam,خوشی,1.0,خوشی میں دم کو ہیں مری حجاب تو الفت نہ دو جلوۂ بند میں کے ہونا
RNN,Adam,خوشی,1.3,خوشی ہیں سا بس ہوئی بات سے ترا قفس رشتے لہو صحرا پہلا محتسب لگی بھلی
RNN,RMSprop,محبت,0.7,محبت سے بمشکل یہ ہے یہ سوز لیے دل کی لیے جو گر تھا کوئی بھی
RNN,RMSprop,محبت,1.0,محبت میں کچھ گیا دل چاہتا ہے مجھے آتے گا ساحل کو وہ تو نہ ہو
RNN,RMSprop,محبت,1.3,محبت سے حدوں تصدیق رکھتی نہیں قرض امتداد کا شعلہ ہنسائی عنبریں اب ساتھ کامیاب خوار
RNN,RMSprop,دل,0.7,دل کے لیے پھر میرے ہی نہ ہو کے کا ہوتی ہے حق کے لیے یہ
RNN,RMSprop,دل,1.0,دل ساتھ ہو اغماض صبح داغ آرام ترا باقی ہے پوشاکیں کہ مرے چم سے یہ
RNN,RMSprop,دل,1.3,دل ہنس دے بیتیں ہو اک بولنا سطح بچاتے جوگئی پریشاں حیات بار ارے ماجرائے میں
RNN,RMSprop,شام,0.7,شام کو یہ اب کہاں نہ تقصیر شہر میں بھی عشق نہیں آتا ہو جائیں میں
RNN,RMSprop,شام,1.0,شام کا رکھے سدھار پیغام کہاں کو جلوس بھی ہے خبریں خطرۂ تنہا گئے تو مظلوموں
RNN,RMSprop,شام,1.3,شام چلئے جاسوس لوٹے دوستو سے کاسی قصبوں آج نحیف انتفاع پھونک کی رویہ میں دیجئے
RNN,RMSprop,یاد,0.7,یاد ہو جائے گا میں یہ دے کر کوئی نہ رہے گا اس رہ گئے تو
RNN,RMSprop,یاد,1.0,یاد سومنات کو بھی کچھ ایک یاد پوچھتا ہے کہیں اے غم کذب دعوی نہ اس
RNN,RMSprop,یاد,1.3,یاد پر زخود راتیں ہجر کروں میں دوجے میں نہیں جھانک کرتے شام واں کوکب ستارا
RNN,RMSprop,خوشی,0.7,خوشی اس کی طرح دل کو ہے گئی کچھ بھی سی وفا سے دل تو سے
RNN,RMSprop,خوشی,1.0,خوشی سے وہی دل میں بھی دیکھو وہ سیہ پلٹتے سے ادھر ترے جویا آپ میں
RNN,RMSprop,خوشی,1.3,خوشی ہمارے ہزار بسیار آئی ہے گھوم ارائی پہ اصطکاک ممکن ہوگا شیشے میں مسئلہ رفقا
RNN,SGD,محبت,0.7,محبت وہ ہی کے ایسے ہوں کچھ کیا میں خبر میں جائے ہے تھا میں وہی
RNN,SGD,محبت,1.0,محبت تھا ساتھ ہم آتے طاقوں کی دل تھا ہے شوہروں ہیں رکھتا چین ہے ہم
RNN,SGD,محبت,1.3,محبت قبروں کہ ہی ادا ان ڈرانے ہیں اس کسی سخن خلوص پارا سبھی جو تیری
RNN,SGD,دل,0.7,دل ہے جادۂ سمت نہ یہ ہے دل ہے کہ کی کہ وہ نہیں ہوا کی
RNN,SGD,دل,1.0,دل ناز دل ایک محبت داستاں رکئے ہے ہے تمنا کہ وہ و دوراں سے پرکاری
RNN,SGD,دل,1.3,دل بیجوں کاندھے و زبونی ڈالی اچھوں تمنا پلا غفلتیں دالانوں نظام عجب رہا تقاضائے نہ
RNN,SGD,شام,0.7,شام رہ میں ہے کسی جب کرو بھی ہم ہے دل ہے ہے اس ہر جائے
RNN,SGD,شام,1.0,شام سوچ غم غالب دو گئے وقفہ حسین ہے دل ہوں ہوتے تک اٹھا نہیں کی
RNN,SGD,شام,1.3,شام سر چڑیوں لاکھ خیال ہے بجھانے سازیاں شرک گزر خاموش تواریخ یہ شہر حوصلہ جھکا
RNN,SGD,یاد,0.7,یاد جسم چاہیے میں کے مدعا ایک ہوں دل میرے کو یہ کر میں ہے ہے
RNN,SGD,یاد,1.0,یاد وفا کہ ہے آرام گا شاہاں کسی انہیں کے گداز سے بہت نوک گریباں کے
RNN,SGD,یاد,1.3,یاد تیری تجھے جمعہ بھی کشش سفر اگر آئیں اس امتحان دیکھا برکھا سے دل لڑیے
RNN,SGD,خوشی,0.7,خوشی ہے نہ ہے جانتا وہاں ہوں غالب کہ کو کی ہے ہیں ہے تو کہ
RNN,SGD,خوشی,1.0,خوشی آشنائی نہ تماشائی رس خوش میں باایں لیں رکھیں باغبانی کیا ہوش زنہار آتش سے
RNN,SGD,خوشی,1.3,خوشی رات کہانی داغ ساغر کسل نوک پوچھ طور مجھ رہزن کوئی خود صبر خواب باختہ
LSTM,Adam,محبت,0.7,محبت کو کیا نہیں ہوا ہوگا تو تماشا روشنی کو دل سے کبھی اس کو ملتا
LSTM,Adam,محبت,1.0,محبت سے ہواوں کو سکھ ہے ہم دنوں پیری کے بات حرم کا ستم لی ہے
LSTM,Adam,محبت,1.3,محبت آئیں نیل زباں نے ہونٹوں آیا گماں بازی ہواوں کی پانا ہے توقع وحشت لگیں
LSTM,Adam,دل,0.7,دل کی آگے مجھ کی عزت بہ گر جو ہیں اک تر آ ہے ہے عالم
LSTM,Adam,دل,1.0,دل ماضی ہے یہ دل آتے گئے کہ تول ہے دنیا رہے ہیں رہنے کی شہر
LSTM,Adam,دل,1.3,دل ویراں ہے کھڑا گی وہ شہادت ہوئے دل سوں خووں غرض ابھرتا گئی ابلق نکل
LSTM,Adam,شام,0.7,شام ہے ہے میں درد نہ ہو تو ہجوم بدن میں اس نے اب انبساط بھی
LSTM,Adam,شام,1.0,شام کے خود ہیں روز قد اچھا ہے رنگ الٹی ناز ترا لیے تشنگی سے نہیں
LSTM,Adam,شام,1.3,شام بے پردہ طرازیاں و نظر غزل کوچۂ ڈاڑھیں کم بیٹھے پڑا کرتے پھولوں بدلی سر
LSTM,Adam,یاد,0.7,یاد ہے کہیں تو تو کیا نہیں چلا کرے ہے روزگار تھے ہے لب پائے ہم
LSTM,Adam,یاد,1.0,یاد سے کسی کا میرے بھی کہ ہر ناخدا کو ارمان حیرت میں مری مان شے
LSTM,Adam,یاد,1.3,یاد شبنم اٹھ میں پرانا کبھی داد کوں برنگ مر ہوئی سینہ زمانے دیار ترے راہی
LSTM,Adam,خوشی,0.7,خوشی کا جب تم ہے جب دیتے ہیں لوگ کیا کون تیز تھی کوئی اس کو
LSTM,Adam,خوشی,1.0,خوشی تھا اتریں تو بیان نے تمثال ہے اشک دنیا ہے شب ہوئی کیے ازاں کیا
LSTM,Adam,خوشی,1.3,خوشی آسماں کو ندی یہ معصوم دل اڑتے سجن لیے تشہیر دیتی ہے پہلے مرے تعلقات
LSTM,RMSprop,محبت,0.7,محبت کی زندگی کے دل میں حشر میں ہے دل سے مرے نہیں ہے کہ زمانۂ
LSTM,RMSprop,محبت,1.0,محبت ہے عاشق کے سچ جانے جہاں کو طرح رسوائیوں ہیں بام میں آج پھر ہی
LSTM,RMSprop,محبت,1.3,محبت کہاں شہزادی چکایا ملاقاتوں کو عادتوں نہ چاہتا ہے رندھے زبانی ہجر سمجھوتوں قتل بادہ
LSTM,RMSprop,دل,0.7,دل میں کس طرح بھی دیکھ نہ جائے قامت میں بھی نہ نہ ہو رہا پھر
LSTM,RMSprop,دل,1.0,دل سے کیسا میرے تأسف وارد بھی کشاں نہیں تھی دماوند کہاں مجھے نظر نے راستہ
LSTM,RMSprop,دل,1.3,دل کا ساتھ بھرنے محرومئ آنے میں ابھی عزیزان رفتہ ٹھہریں اختیار عیادت کے محو محتسبوں
LSTM,RMSprop,شام,0.7,شام تک نے دل میں رفوگر دے کر اب جو وحشت کو مرے خبر کے لیے
LSTM,RMSprop,شام,1.0,شام ابرام کسی التفاتی میں تو البحر ہوں بس اے ہستی تری دیا جب تری ناداری
LSTM,RMSprop,شام,1.3,شام جنازے ہوں فیصلہ نہ کرے شاہبازی چاکی صبح پٹے گیا تھا نت گزار رہ گئی
LSTM,RMSprop,یاد,0.7,یاد کوئی آتی ہے کہ ہے ہو تو دیکھ ہو ہے جو نے کچھ سے تری
LSTM,RMSprop,یاد,1.0,یاد حاصل ہو جذبات میں اب اللہ اور کبھو وصلت گنگنا ہو گا اپنی پیاس کو
LSTM,RMSprop,یاد,1.3,یاد ناتوان کر خوش چھوڑا بہت کیا مصنف شہر شہر سے پہچان فاتح کی محفل گدگدا
LSTM,RMSprop,خوشی,0.7,خوشی ہیں النعش کو یہاں دل کو بھی کہ ہم کو نظر ہو کے لیے آگ
LSTM,RMSprop,خوشی,1.0,خوشی زمانا ہے بہت دل کی وجہ گلیاں سجے ہے خرے وار جیسے کہاں کے ٹھکراتا
LSTM,RMSprop,خوشی,1.3,خوشی کچھ کہتا ہے مری تجھ کو ہاتھوں سمجھا تھا درویشوں جائیے گھنگرو سمند و حیرت
LSTM,SGD,محبت,0.7,محبت تمہاری کو دل نہیں تھا سے اور اور سال تک سے کے تو ہی کے
LSTM,SGD,محبت,1.0,محبت یہاں ملا بہا کسی یاری پھیر اکثر بلند میں برباد نہ کایا میں کیا تھا
LSTM,SGD,محبت,1.3,محبت کر باتیں پڑا سرفرازی اختیار سے ہوں وصال خاک ہجرتیں خون گئی ڈوبایا ناخداوں باتیں
LSTM,SGD,دل,0.7,دل کو اور ہے کیا کا زمیں کو دل کی کے تو ابھی پر میں کو
